Image_Name,width,height,total_pixels,terrestrial_pixels_hard,terrestrial_pixels_soft,mean_pixel_confidence,n_background,soft_background,softvar_background,n_building,soft_building,softvar_building,n_earth,soft_earth,softvar_earth,n_grass,soft_grass,softvar_grass,n_animal,soft_animal,softvar_animal,n_mountain,soft_mountain,softvar_mountain,n_path_road,soft_path_road,softvar_path_road,n_person,soft_person,softvar_person,n_rock,soft_rock,softvar_rock,n_shrub_bush,soft_shrub_bush,softvar_shrub_bush,n_sky,soft_sky,softvar_sky,n_tree_conical,soft_tree_conical,softvar_tree_conical,n_tree_broadleaf,soft_tree_broadleaf,softvar_tree_broadleaf,n_wooded_mass,soft_wooded_mass,softvar_wooded_mass,n_Water,soft_Water,softvar_Water
193.jpg,800,658,526400,272080,269772.0341200087,0.8517123397532568,96247,100085.93916360338,32919.262275960464,61050,58893.94423061014,11805.094831520006,0,15221.739189698357,11957.407805285751,57682,43355.87073265438,16757.857925406766,13610,13459.718393498068,2745.3981998338286,0,71.602760128108,71.5704840240935,2558,2990.144157909952,1915.7931079518467,0,51.31709630570367,51.29407520282386,0,64.60226043776493,64.58944392576517,41613,41236.866105295434,6874.752965049682,158073,156542.0225301836,6460.048650081811,0,72.37373216451851,72.35734307252807,88674,87669.84951831955,10345.836610092649,6893,6457.522791341027,3518.1278774586644,0,226.48315164576525,225.9121545906453
194.jpg,800,601,480800,169985,167797.87959478612,0.9613010654589177,39568,42805.38350850113,11909.744560053612,1758,1840.9835760655442,414.282990590123,84230,83216.27834588401,5444.415754057871,17258,17024.060653373417,900.4321364539519,0,25.26600629391396,25.264075163219605,9348,9054.487319500651,1140.2137133715187,0,28.206410158378276,28.203897123138308,700,729.4730711101583,319.08004129333665,0,62.90525902572881,62.88326603765162,0,27.977414414963278,27.974085266543014,271247,270196.7283696757,2562.345777748622,0,28.254274192264347,28.2521573201706,0,76.11301347386325,76.09808037198567,4544,4324.046773473659,735.6389419809867,52147,51359.82747781959,2362.5063382757116
195.jpg,800,514,411200,141782,143874.65428734128,0.8955178889135037,86040,85113.1123600909,22720.441486949607,51515,50751.44779196847,3368.828233661249,30041,27798.8171475038,9933.276641560378,0,31.871923188758956,31.867057094467267,437,765.0300336818764,450.7121795053685,0,37.53625217737499,37.531519413470505,0,38.3829616310104,38.37321524380489,44568,43690.639826637474,7780.402303115741,0,48.67587709219151,48.649315262628825,0,35.13662092856612,35.12991415482302,183378,182212.23268016204,3803.607524144464,0,39.30625340199549,39.2879019113107,8957,8411.341400051631,2080.4368431169337,0,39.840255283081206,39.82746110376949,6264,12186.62794379511,7349.9386446202225
196.jpg,800,537,429600,234580,231717.65458259877,0.9166250736545251,68890,72723.75394223438,20421.0628442054,3220,3129.0425483228064,555.1312479460378,39643,38784.62721397046,5450.078433268462,5291,5096.108521528353,1327.7873524446445,46371,45525.981098764416,5740.947160695239,4876,4783.341087003384,884.8534607394523,0,29.578862028542062,29.575437984197535,15481,15255.210428103972,2443.2376862818755,0,30.977342968899393,30.97380694182034,42462,42020.8018492666,3014.0667900122426,126130,125158.59429598252,3467.2359738252344,0,31.265471844575586,31.260896543938006,69215,68861.88401564465,3538.8965766607726,4678,4886.9578741184305,1205.7817998620906,3343,3281.8782690336648,710.8147428799499
197.jpg,800,599,479200,170144,172132.75027217972,0.9125771835633555,61290,60047.94500368675,20999.122947554184,207,669.4090897714559,475.98693635588114,71478,70992.9231407756,9396.236636927742,4656,5556.026833997183,2358.6994334874757,37607,35655.48151020125,7181.249523327473,0,46.46755468871925,46.44287764822445,0,44.19934470025328,44.16759270701319,19436,19008.537323039112,4209.386654354561,0,43.088768069430444,43.07933157883191,23802,26587.28211859121,6597.338725210853,247766,247019.30626543186,3175.7552568723067,0,53.48187905472696,53.41813414440304,9245,9151.517350102378,1140.3910451523363,3713,3819.025544892167,1292.0101171526528,0,505.3098142962135,464.74742611982805
198.jpg,732,800,585600,523444,390695.7127454485,0.6811097357521861,57359,57483.72599235295,21157.80175134333,35772,34872.96438050714,2767.0606180204204,36706,35275.96848038376,4510.303855389806,20308,20795.21566880509,3235.2214324484667,30592,29665.517454996265,5483.743029593527,0,618.6440114104898,617.5765828442305,0,209.66316367602485,209.56367822655676,1264,1578.9240040213517,721.7960224455198,0,509.1941198855675,508.51689253710106,6470,16913.17087970049,9159.767699663598,4797,137420.56139638444,81808.16256210151,0,407.7243091238561,407.3110230810622,392332,249213.02101424657,92924.42246382097,0,477.5320412021247,476.992316240862,0,158.17321748986978,158.11517202830572
199.jpg,800,599,479200,112725,121335.58929234506,0.8515530862424131,98176,90844.51724742404,27558.15729205295,0,77.33439958716372,77.31009346539439,38617,38558.55283827084,16093.402000477547,17387,14554.688749356203,8291.274831444403,3641,3929.4387239110583,1306.9001058602853,0,100.19956381033535,100.16990003210847,0,257.4982790677641,256.7523163621281,666,812.9687930328182,437.4055857781223,0,1617.180807717108,1582.8323574344145,37082,31236.33856997302,17563.943862760818,268299,267019.89475458505,3881.5509734897714,0,236.41102350067558,235.98888513219217,0,13696.782330214432,10984.326802118665,15332,15616.849492095953,7908.255923270531,0,641.3457218076765,633.9846532799946
2.jpg,800,470,376000,207198,208552.623006251,0.8732490497630169,92871,92188.03618593702,25461.108360207392,4711,4496.7520516481145,1204.9396778382434,48829,48199.57439908212,10701.797265754532,0,3687.3788870704557,3548.6549957562247,11895,12364.346740383851,3227.0383559339716,1729,2218.8947644075706,853.6153970210398,0,99.83362355361896,99.75710328407037,3581,3875.9152906669824,982.9224385618575,0,174.48273861302368,174.24557907608258,67644,62693.21541267917,8946.062079249183,75931,75259.34139101299,2729.2285958529355,0,96.98515797747132,96.91248182148017,64178,65300.37955060578,6859.069830164775,4622,5088.322612485015,2243.8806793440826,9,256.5417770776912,245.15902697160806
20.jpg,683,800,546400,313729,314892.4285695099,0.9223289238522443,104663,104547.46988626439,24224.334641821748,0,23.772067636326028,23.769392225799976,55992,55722.07552996281,8655.332799113718,19549,20813.68611684504,4481.986919986376,7381,7369.385253731616,1915.2335781156473,861,757.8617359893174,412.2258513830245,0,34.4165940797011,34.41196623456158,0,23.05349924300299,23.050125870492053,0,60.196697394629155,59.739085092980645,27296,26914.819589732622,5801.818486886059,128008,126960.10388412155,3625.8604782921125,0,75.639970190452,75.61221998484518,202007,201858.3341755775,8018.880080938026,643,1210.1997676483152,780.6630854827682,0,28.987571478468453,28.98473936104605
200.jpg,800,571,456800,112582,112165.85945009746,0.9188533279278859,54992,56939.0614816407,21114.062838769074,1633,1630.4123710068343,432.9852948700985,54369,51134.18792716971,9985.404559606988,0,31.21005106303346,31.197707378773767,2628,2943.958675507278,1662.5859742702232,6695,6595.421630972814,1246.0677907962079,0,35.00206058723779,34.99634807689673,6785,6900.539128220446,2303.5648537178395,0,32.90685632786153,32.901763228097195,6036,7152.253968542902,3090.2169389763762,289226,287695.08458543447,3119.912991311655,0,29.557180843597052,29.55245781741883,16725,16626.950835309344,2130.7984617569987,5204,5682.602477138436,2144.4660980086464,12507,13370.856287407903,2283.64827523215
