label,balance,n,est,lo,hi,n_nonzero,est_nz,lo_nz,hi_nz,spearman,survives,note
"B corrected, + scene type + school",b3,238,-1.0359846735635212,-1.7574961865339982,-0.3144731605930443,143,-0.4604072642213707,-0.7765288835214379,-0.14428564492130352,-0.1441937262673363,TRUE,ok/ok
"C corrected, Dutch core",b3,110,-1.1730629316626306,-2.547421297461129,0.2012954341358677,65,-0.23671674005899798,-0.6319078077263949,0.15847432760839888,-0.14788678797958937,FALSE,ok/ok
"A uncorrected, unadjusted",b4,238,-0.10831557133964893,-0.8020402917210259,0.5854091490417279,136,-0.1361710841349085,-0.5106382200326219,0.23829605176280497,-0.05721655840087331,FALSE,ok/ok
"B uncorrected, + expert scene type",b4,238,0.19775844086329708,-0.4457799578122964,0.8412968395388906,136,-0.0486929857513575,-0.3857931492217799,0.2884071777190649,-0.05721655840087331,FALSE,ok/ok
"B uncorrected, + scene type + school",b4,238,0.03563394899839521,-0.8762966074621783,0.9475645054589688,136,-0.2473751589967936,-0.6537038525087063,0.15895353451511915,-0.05721655840087331,FALSE,ok/ok
"C uncorrected, Dutch core",b4,110,0.031272144107660854,-1.7073128462137788,1.7698571344291005,61,-0.49307998091316857,-1.1840691465410385,0.19790918471470137,-0.0752115685674637,FALSE,ok/ok
"A corrected, unadjusted",b4,238,-0.3673845205076331,-1.181673602010339,0.446904560995073,103,-0.014263244300125747,-0.33397178101163927,0.30544529241138774,-0.07966521026999708,FALSE,ok/ok
"B corrected, + expert scene type",b4,238,-0.05294754935247865,-0.812544842847638,0.7066497441426806,103,0.03829626337788246,-0.2719892385738532,0.3485817653296181,-0.07966521026999708,FALSE,ok/ok
"B corrected, + scene type + school",b4,238,-0.4565647279942619,-1.6550464747987585,0.7419170188102346,103,0.03844114337575373,-0.4586011458579478,0.5354834326094553,-0.07966521026999708,FALSE,ok/ok
"C corrected, Dutch core",b4,110,-1.103913849130993,-3.465695008905809,1.2578673106438232,43,0.23770818071186461,-0.877772171204992,1.3531885326287212,-0.06533840383720407,FALSE,ok/ok
