Image_Name,median_date,latitude,longitude,painter,school,dutch_core,habitat
61.jpg,1873,47.4030085137267,3.87680712791129,Charles-François Daubigny,Realism & Barbizon,FALSE,river/lakeside landscape
62.jpg,1854.5,48.85,2.192935,Paul Huet,Romanticism,FALSE,woodland landscape
63.jpg,1846,49.107441,2.228181,Jules-Louis Dupré,Realism & Barbizon,FALSE,river/lakeside landscape
64.jpg,1874.5,48.443464,2.60313,Narcisse-Virgilio Diaz de la Peña,Realism & Barbizon,FALSE,river/lakeside landscape
65.jpg,1825,46.7685,2.4326,Richard Parkes Bonington,Romanticism,FALSE,river/lakeside landscape
66.jpg,1850,46.7685,2.4326,Théodore Rousseau,Realism & Barbizon,FALSE,river/lakeside landscape
67.jpg,1855,48.461914,2.665357,Antoine-Louis Barye,Romanticism,FALSE,woodland landscape
68.jpg,1861,49.756728,0.372873,Antoine Chintreuil,Unspecified / Other,FALSE,mountain/rocky landscape
69.jpg,1879.5,49.062833,1.692931,Claude Monet,Impressionism,FALSE,river/lakeside landscape
7.jpg,1650,51.213886,4.401514,Lucas van Uden  and David Teniers the Younger,Baroque,FALSE,open countryside
70.jpg,1887.5,49.0303724581852,0.241144843814191,Eugène Boudin,Impressionism,FALSE,river/lakeside landscape
71.jpg,1860,47.0814130461153,5.47281845529144,Gustave Courbet,Realism & Barbizon,FALSE,mixed/unclear landscape
72.jpg,1899,49.0769678397807,1.53028354745212,Claude Monet,Impressionism,FALSE,river/lakeside landscape
73.jpg,1858,46.7685,2.4326,Jean-Baptiste-Camille Corot,Realism & Barbizon,FALSE,woodland landscape
74.jpg,1850,48.409078,2.701773,Narcisse-Virgilio Diaz de la Peña,Realism & Barbizon,FALSE,open countryside
75.jpg,1886,47.683333,3,Henri-Joseph Harpignies,Realism & Barbizon,FALSE,urban/architectural landscape
77.jpg,1862.5,48.8271677094193,2.18890366508436,Jean-Baptiste-Camille Corot,Realism & Barbizon,FALSE,river/lakeside landscape
78.jpg,1757,50.9190690989838,14.0572828673353,Bernardo Bellotto,Rococo & Arcadian,FALSE,urban/architectural landscape
79.jpg,1811,51.1633,10.4539,Caspar David Friedrich,Romanticism,FALSE,mixed/unclear landscape
8.jpg,1618.5,51,4.5,Peter Paul Rubens,Baroque,FALSE,woodland landscape
81.jpg,1648,39.8742171946192,22.5541179127486,Nicolas Poussin,Classicism & Neoclassicism,FALSE,urban/architectural landscape
82.jpg,1751,42.383333,13.016667,Claude-Joseph Vernet,Classicism & Neoclassicism,FALSE,urban/architectural landscape
83.jpg,1777.5,45.438611,12.326667,Francesco Guardi,Italianate & Vedute,FALSE,urban/architectural landscape
84.jpg,1645,42.833333,12.833333,Jan Both,Dutch & Northern,TRUE,open countryside
85.jpg,1659,42.833333,12.833333,Nicolaes Berchem,Dutch & Northern,TRUE,mountain/rocky landscape
86.jpg,1637,41.966667,12.666667,Gaspard Dughet,Classicism & Neoclassicism,FALSE,woodland landscape
87.jpg,1770,42.833333,12.833333,Bernardo Bellotto,Rococo & Arcadian,FALSE,urban/architectural landscape
88.jpg,1823.5,42.833333,12.833333,Charles Rémond,Classicism & Neoclassicism,FALSE,mountain/rocky landscape
89.jpg,1788,41.966667,12.8,Jean Joseph Xavier Bidauld,Classicism & Neoclassicism,FALSE,river/lakeside landscape
9.jpg,1632.5,51.213886,4.401514,Peter Paul Rubens,Baroque,FALSE,open countryside
90.jpg,1823.5,40.55,14.216667,Charles Rémond,Classicism & Neoclassicism,FALSE,mountain/rocky landscape
91.jpg,1670,41.966667,12.8,Gaspard Dughet,Classicism & Neoclassicism,FALSE,woodland landscape
92.jpg,1636.5,41.9,12.483333,Claude,Classicism & Neoclassicism,FALSE,woodland landscape
93.jpg,1641,41.8776850498232,12.4718588596195,Jan Both,Dutch & Northern,TRUE,urban/architectural landscape
94.jpg,1814,41.9,12.4833,Christoffer Wilhelm Eckersberg,Dutch & Northern,FALSE,urban/architectural landscape
95.jpg,1776,42.833333,12.833333,Claude-Joseph Vernet,Classicism & Neoclassicism,FALSE,coastal landscape
96.jpg,1673,41.9,12.483333,Karel Dujardin,Dutch & Northern,TRUE,open countryside
97.jpg,1642,42.833333,12.833333,Jan Both,Dutch & Northern,TRUE,woodland landscape
98.jpg,1826,41.8890544072839,12.4880483812954,Jean-Baptiste-Camille Corot,Realism & Barbizon,FALSE,open countryside
99.jpg,1632,41.9,12.483333,Claude,Classicism & Neoclassicism,FALSE,urban/architectural landscape
