variable,mean,sd,2.5%,97.5%,rhat,ess_bulk,ess_tail,model
b_b2_date_sc,0.04241735815362991,0.3700656018873411,-0.6866007613564834,0.7727051434747626,0.9999666967903345,6659.496180624893,5891.102105611362,M1
b_b2_lat_sc,-0.6275650483352533,0.349857975286986,-1.3256466298370841,0.041823981558101735,1.0003334627087697,6682.802884212915,6504.910047655192,M1
b_b2_lon_sc,0.10606589852480515,0.3579985799610384,-0.591739187165308,0.8044056733741806,1.0000636690542777,6711.2925842078685,5743.909614654234,M1
b_b2_habitatmixedDunclearlandscape,-0.2653704532893567,0.9514563955122768,-2.1368304301863708,1.6014125953490357,1.0005842403922334,12292.943112415622,5833.570066184025,M1
b_b2_habitatmountainDrockylandscape,0.20807847918291145,0.7371713535735998,-1.2342873600555886,1.6519959103544224,1.000386157508724,9465.785168669767,6269.036288879825,M1
b_b2_habitatopencountryside,2.08098137690486,0.6180658535063842,0.8792951521200412,3.3092368585260554,1.0005384434383835,7924.07401414147,6146.141750960706,M1
b_b2_habitatriverDlakesidelandscape,-0.3804527965773595,0.5803248564208523,-1.5149772950951388,0.7643728636901825,1.0003638389019327,7607.140185333111,6034.084340502307,M1
b_b2_habitaturbanDarchitecturallandscape,0.7169147676617538,0.6586154101845342,-0.5526768391837191,2.039028437018751,1.0000474741427474,8301.315408395567,6353.027828733392,M1
b_b2_habitatwoodlandlandscape,2.2994278612895203,0.7243149526939215,0.8861255806081169,3.696273620584079,1.0001121521206298,9458.206601109501,6701.454738660123,M1
b_b3_date_sc,-0.0750561798239009,0.24421242553384181,-0.5515109489127783,0.39951190065005815,1.0003168658133412,7243.515569649306,6462.541138482621,M1
b_b3_lat_sc,0.36112953247716295,0.24445317387331086,-0.116953442727909,0.8449917152273045,1.0006396954500163,7977.499150448237,6277.469900033085,M1
b_b3_lon_sc,-0.09872872406006501,0.26106625859452487,-0.6074013855809548,0.42772732509576744,1.0002536932682646,6282.5206125655395,5881.777853374132,M1
b_b3_habitatmixedDunclearlandscape,0.8296254217240681,0.9030366819356813,-0.9569754631528374,2.5896319382002546,0.9999558812785309,13695.732827585216,6195.0796834824505,M1
b_b3_habitatmountainDrockylandscape,-0.33866674150408793,0.6299060287879902,-1.591280392878751,0.8674266587964407,0.999799728675212,7757.730155369519,6125.665649728967,M1
b_b3_habitatopencountryside,0.12376294485565015,0.5406827496607737,-0.9251810694632872,1.2018851162327575,1.0002813246032214,6585.65074210362,6034.056093449159,M1
b_b3_habitatriverDlakesidelandscape,0.5364338309708891,0.4993025816696818,-0.4405262408445317,1.5034005443181726,1.0016509162406424,6311.297788482164,6646.352674298643,M1
b_b3_habitaturbanDarchitecturallandscape,0.7549186370713759,0.5797103486175007,-0.3882773278957781,1.9004892064669563,1.0005492273232426,7435.823077743863,6478.009539052168,M1
b_b3_habitatwoodlandlandscape,0.9265025745508035,0.608653501025108,-0.25437989026901026,2.127153786909371,1.0000499929711706,7778.9665914727675,6325.142279174218,M1
b_b4_date_sc,0.03656951382601321,0.29940834343695255,-0.5497554876195953,0.622186800392599,1.0008774416806658,7772.242128587382,5959.396128113945,M1
b_b4_lat_sc,-0.664201061279754,0.2988948131965556,-1.248818213658936,-0.07069338916901866,1.0001696527084847,6786.417913690609,6167.016264300464,M1
b_b4_lon_sc,0.19000334986500694,0.31449037593279294,-0.43907324061606723,0.8027775191506309,1.0001042423445912,7376.783278339429,6251.1733658623625,M1
b_b4_habitatmixedDunclearlandscape,0.19365722111724828,0.9221849717999823,-1.6224842504750194,1.9807444192571362,1.0010263375801147,11485.398223363487,6249.663426658915,M1
b_b4_habitatmountainDrockylandscape,0.43868598633506367,0.6937189165840492,-0.9248525770843412,1.7897592024151714,1.0004945435209858,9243.393783413145,6874.729242943733,M1
b_b4_habitatopencountryside,1.223430990014335,0.6070620750108912,0.00634756072415031,2.382912532467548,1.0003087706756402,7439.470326845764,6201.83350926851,M1
b_b4_habitatriverDlakesidelandscape,-2.408089744257802,0.578413621101934,-3.5288220031114874,-1.2666303322348895,1.0005535637113316,8392.94051615159,6988.933842113501,M1
b_b4_habitaturbanDarchitecturallandscape,-0.5383823717392962,0.6432110201216863,-1.824590912945816,0.721216541056404,0.9998662046927776,8291.281181647872,6838.498699781005,M1
b_b4_habitatwoodlandlandscape,1.417347769751598,0.6793163697675927,0.08246639397649229,2.731966084716161,1.0001350418597894,7904.431746327872,6410.025307152364,M1
sd_painter__b1_Intercept,1.1747270702958996,0.3727167488552664,0.30077791717834934,1.8328541131943878,1.0065839701230335,1038.4690058510816,725.2639055082437,M1
sd_painter__b2_Intercept,2.2839960756897058,0.45132633540957073,1.3800783266410537,3.1753786844375598,1.0017662509937058,2294.9842148208454,2721.8839854371154,M1
sd_painter__b3_Intercept,0.815861679749554,0.4289863017634626,0.05664506464943847,1.662228393337368,1.001235795822645,927.3754644273472,2048.66234262032,M1
sd_painter__b4_Intercept,0.9217221117076478,0.5175728388983196,0.05210846792383336,1.9208653260795017,1.0026856637283064,1270.6007998133082,2364.0054658380286,M1
cor_painter__b1_Intercept__b2_Intercept,0.3186864962903643,0.24763846723103952,-0.2165937816217084,0.746081125119122,1.0024203020960811,1577.0369913211787,2066.3457739648993,M1
cor_painter__b1_Intercept__b3_Intercept,-0.3491767442926598,0.3170785139825304,-0.8392426615599965,0.3905439967072155,1.002663118239486,2464.9593984527455,3647.761793940748,M1
cor_painter__b2_Intercept__b3_Intercept,-0.3706584274302261,0.2987217485508817,-0.8388478604768446,0.33140978561653767,1.0012385649197006,2796.374412537259,4312.808355657984,M1
cor_painter__b1_Intercept__b4_Intercept,0.10766301703823601,0.32371212139383887,-0.5541466458124477,0.6959055260846998,1.0001309280365298,4292.299038345656,5435.092535444273,M1
cor_painter__b2_Intercept__b4_Intercept,0.12679975271288574,0.3141617613417795,-0.5356245161506648,0.6741713472977806,1.0008784411048457,4691.661247223295,4963.0454112992475,M1
cor_painter__b3_Intercept__b4_Intercept,0.11384766397490494,0.35244159430793215,-0.5972234718592231,0.7321468001217387,1.001211730630581,2991.563396050096,4516.165914752911,M1
sigma_b1,2.768076695976198,0.16424718598867116,2.470261866423467,3.1016619569076385,1.0028279107658475,2441.079773144376,2957.1206622979967,M1
sigma_b2,3.878404226133763,0.23586267056355892,3.4382266528756977,4.362936035157819,1.0003487351692293,3804.318590421568,4793.034667718721,M1
sigma_b3,2.9714481864488502,0.1681592733506932,2.651059849514491,3.3101032285780883,1.0008844416159388,2489.2099345886427,4196.668420817746,M1
sigma_b4,3.7672279940297626,0.20366541570095933,3.373330271640816,4.182965400808932,1.0003476931223625,3313.2113959302937,4513.873555839995,M1
Intercept_b1,0.00994350233129303,0.23747236442426845,-0.45852333254943467,0.47595868105576256,1.000756014512725,5164.285724422912,5788.784280287964,M1
Intercept_b2,1.0534477490397562,0.37365115955780615,0.315637938926512,1.7755305387759324,1.000786371185279,5493.514800039418,5862.569136553656,M1
Intercept_b3,1.497574449073935,0.23271799140142,1.0565778394169199,1.963498307042552,1.0001277223040852,5190.594956689612,6373.352615197175,M1
Intercept_b4,2.38342657700644,0.27814225662646014,1.8382376340420827,2.9294700153211086,1.000206953723744,8849.113089224595,6225.406228444286,M1
rescor__b1__b2,0.017653020624609893,0.07918646873238729,-0.13433539214945625,0.16796242269862685,1.0010970209057297,3943.8377640655413,5894.498447092096,M1
rescor__b1__b3,-0.1837382646509435,0.07246291685811715,-0.32281792177324437,-0.04120260759270956,1.0013770569415694,4478.187725399239,5641.668234067482,M1
rescor__b2__b3,-0.05664834730408026,0.07962628518694391,-0.21092450604457125,0.10167634084349438,1.000016175071792,3730.7168853171397,4936.311836579536,M1
rescor__b1__b4,-0.11930359698602022,0.0727181159967089,-0.25901470318273023,0.02700585822702825,0.9998506354240777,6472.232757303607,6460.755574255648,M1
rescor__b2__b4,0.22232314559044813,0.07249328047578965,0.07369532308722931,0.3582224641659044,0.9999738766213517,6226.599589357852,5921.468050827325,M1
rescor__b3__b4,0.13791729347102982,0.07102848116809878,-0.006249704754078785,0.27446333940016976,0.9998924626076815,6517.884013606046,6118.895825456967,M1
